depth,station,insitu,gldas
2.5,27,732952.23384986,732965.549848989
2.5,27,733298.627086229,733311.832645083
2.5,27,733670.72612,733702.000000406
2.5,27,734059.325692696,734080.903615847
2.5,27,NaN,NaN
2.5,27,NaN,NaN
2.5,27,NaN,NaN
2.5,27,NaN,NaN
2.5,27,NaN,NaN
2.5,27,NaN,NaN
2.5,27,736737.228269784,736660.253994493
2.5,27,736905.727100408,736991.917659728
2.5,27,737334.957110327,737324.3557997
2.5,28,732956.687149372,NaN
2.5,28,NaN,NaN
2.5,28,733649.764076419,733651
2.5,28,734016.745018615,734144.818533199
2.5,28,NaN,NaN
2.5,28,734837.59105784,734811.00001321
2.5,28,735153.438577719,735182.478700012
2.5,28,735527.000097389,735540.508448418
2.5,28,735809.316004116,735902.215669542
2.5,30,733070.019397174,NaN
2.5,30,733298.69420934,733306.255113611
2.5,30,733696.773063976,733698.999999469
2.5,30,NaN,734028.213273394
2.5,30,734515.000199876,734515.050088569
2.5,30,734803.739045764,734813.443114268
2.5,30,NaN,NaN
2.5,30,NaN,NaN
2.5,30,735829.652183865,735902.417416904
2.5,30,NaN,NaN
2.5,30,736651.227862093,736648.216246973
2.5,30,NaN,NaN
2.5,30,737257.723406294,737306.999999865
2.5,32,NaN,732887.760443168
2.5,32,733302.882040609,733326.111408474
2.5,32,733703.975303584,733702.658104744
2.5,32,734075.806032598,734157.000017256
2.5,32,NaN,NaN
2.5,32,734832.521836877,734822.513092307
2.5,32,NaN,735028.525308016
2.5,32,NaN,735635.211799099
2.5,32,735831.143305791,735906.47121193
2.5,32,NaN,NaN
2.5,32,736630.707562897,736661.39743685
2.5,32,736865.927160311,736995.560010875
2.5,32,737278.79073399,737328.999999903
2.5,35,NaN,NaN
2.5,35,733293.431262071,733319.385096223
2.5,35,733694.277938929,733702.681863606
2.5,35,734168.217989632,734149.999999998
2.5,35,734454.999999908,734514.000119053
2.5,35,NaN,NaN
2.5,35,735133.088819769,735238.462023558
2.5,35,735518.278143234,735555.265907272
2.5,35,735823.400624334,735907.230573454
2.5,35,NaN,NaN
2.5,35,736698.760873741,736661.235875805
2.5,35,NaN,NaN
2.5,35,737305.410674286,737329.999999739
10,1,731183.502969427,731206.62833147
10,1,731526.218441355,731510.868682419
10,1,731983.374578172,731892.560869431
10,1,732225.288161087,732332.002063333
10,1,732704.910822892,732669.149378674
10,1,732969.965305145,732965.584142931
10,1,733298.709879356,733312.974819207
10,1,733698.999614297,733701.074989457
10,1,734027.38171335,734135.838678138
10,1,734505.000045041,734547.496324654
10,1,734883.23614762,734818.516164106
10,1,735153.403415826,735245.884121828
10,1,735525.502403398,735544.740864153
10,1,735828.599083981,735903.431539442
10,1,NaN,NaN
10,1,736719.805704192,736655.881320891
10,1,736985.002279457,736984.157718533
10,1,737293.507403465,737329.000174807
